"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2026","88.63","88.63","88.63","88.63","","-5.72%"
"04/09/2026","94.01","94.01","94.01","94.01","","1.57%"
"04/08/2026","92.56","92.56","92.56","92.56","","-12.39%"
"04/07/2026","105.65","105.65","105.65","105.65","","3.49%"
"04/02/2026","102.09","102.09","102.09","102.09","","4.18%"
"04/01/2026","97.99","97.99","97.99","97.99","","-5.93%"
"03/31/2026","104.16","104.16","104.16","104.16","","-6.27%"
"03/30/2026","111.13","111.13","111.13","111.13","","0.61%"
"03/27/2026","110.45","110.45","110.45","110.45","","-0.27%"
"03/26/2026","110.74","110.74","110.74","110.74","","4.43%"
"03/25/2026","106.05","106.05","106.05","106.05","","-2.79%"
"03/24/2026","109.10","109.10","109.10","109.10","","-4.52%"
"03/23/2026","114.27","114.27","114.27","114.27","","-0.57%"
"03/20/2026","114.93","114.93","114.93","114.93","0.01K","-1.59%"
"03/19/2026","116.78","116.78","116.78","116.78","","19.99%"
"03/18/2026","97.32","97.32","97.32","97.32","","1.09%"
"03/17/2026","96.27","96.27","96.27","96.27","","1.98%"
"03/16/2026","94.41","94.41","94.41","94.41","","2.36%"
"03/13/2026","92.23","92.23","92.23","92.23","","0.19%"